
Pinging google.com [2404:6800:4002:811::200e] with 32 bytes of data:
Request timed out.
Reply from 2404:6800:4002:811::200e: time=363ms 
Reply from 2404:6800:4002:811::200e: time=188ms 
Request timed out.
Reply from 2404:6800:4002:811::200e: time=141ms 
Reply from 2404:6800:4002:811::200e: time=89ms 
Reply from 2404:6800:4002:811::200e: time=106ms 
Reply from 2404:6800:4002:811::200e: time=750ms 
Reply from 2404:6800:4002:811::200e: time=308ms 
Reply from 2404:6800:4002:811::200e: time=75ms 
Reply from 2404:6800:4002:811::200e: time=91ms 
Reply from 2404:6800:4002:811::200e: time=161ms 
Request timed out.
Reply from 2404:6800:4002:811::200e: time=399ms 
Reply from 2404:6800:4002:811::200e: time=96ms 
Request timed out.
Reply from 2404:6800:4002:811::200e: time=154ms 
Reply from 2404:6800:4002:811::200e: time=89ms 
Reply from 2404:6800:4002:811::200e: time=419ms 
Reply from 2404:6800:4002:811::200e: time=225ms 
Request timed out.
Reply from 2404:6800:4002:811::200e: time=125ms 
Reply from 2404:6800:4002:811::200e: time=434ms 
Reply from 2404:6800:4002:811::200e: time=153ms 
Reply from 2404:6800:4002:811::200e: time=121ms 
Reply from 2404:6800:4002:811::200e: time=218ms 
Reply from 2404:6800:4002:811::200e: time=91ms 
Reply from 2404:6800:4002:811::200e: time=69ms 
Reply from 2404:6800:4002:811::200e: time=195ms 
Reply from 2404:6800:4002:811::200e: time=244ms 
Reply from 2404:6800:4002:811::200e: time=111ms 
Reply from 2404:6800:4002:811::200e: time=91ms 
Reply from 2404:6800:4002:811::200e: time=137ms 
Reply from 2404:6800:4002:811::200e: time=87ms 
Reply from 2404:6800:4002:811::200e: time=536ms 
Reply from 2404:6800:4002:811::200e: time=108ms 
Request timed out.
Reply from 2404:6800:4002:811::200e: time=77ms 
Reply from 2404:6800:4002:811::200e: time=86ms 
Reply from 2404:6800:4002:811::200e: time=698ms 
Request timed out.
Reply from 2404:6800:4002:811::200e: time=339ms 
Reply from 2404:6800:4002:811::200e: time=1600ms 
Reply from 2404:6800:4002:811::200e: time=97ms 
Reply from 2404:6800:4002:811::200e: time=123ms 
Reply from 2404:6800:4002:811::200e: time=137ms 
Reply from 2404:6800:4002:811::200e: time=612ms 
Reply from 2404:6800:4002:811::200e: time=97ms 
Reply from 2404:6800:4002:811::200e: time=210ms 
Request timed out.
Reply from 2404:6800:4002:811::200e: time=98ms 
Reply from 2404:6800:4002:811::200e: time=449ms 
Reply from 2404:6800:4002:811::200e: time=233ms 
Reply from 2404:6800:4002:811::200e: time=112ms 
Reply from 2404:6800:4002:811::200e: time=82ms 
Reply from 2404:6800:4002:811::200e: time=92ms 
Reply from 2404:6800:4002:811::200e: time=179ms 
Reply from 2404:6800:4002:811::200e: time=571ms 
Reply from 2404:6800:4002:811::200e: time=144ms 
Reply from 2404:6800:4002:811::200e: time=85ms 
Reply from 2404:6800:4002:811::200e: time=123ms 
Reply from 2404:6800:4002:811::200e: time=933ms 
Reply from 2404:6800:4002:811::200e: time=120ms 
Reply from 2404:6800:4002:811::200e: time=97ms 
Request timed out.
Reply from 2404:6800:4002:811::200e: time=179ms 
Reply from 2404:6800:4002:811::200e: time=514ms 
Reply from 2404:6800:4002:811::200e: time=87ms 
Reply from 2404:6800:4002:811::200e: time=105ms 
Reply from 2404:6800:4002:811::200e: time=351ms 
Reply from 2404:6800:4002:811::200e: time=101ms 
Reply from 2404:6800:4002:811::200e: time=90ms 
Reply from 2404:6800:4002:811::200e: time=197ms 
Reply from 2404:6800:4002:811::200e: time=167ms 
Reply from 2404:6800:4002:811::200e: time=120ms 
Reply from 2404:6800:4002:811::200e: time=81ms 
Reply from 2404:6800:4002:811::200e: time=117ms 
Reply from 2404:6800:4002:811::200e: time=95ms 
Reply from 2404:6800:4002:811::200e: time=119ms 
Reply from 2404:6800:4002:811::200e: time=89ms 
Reply from 2404:6800:4002:811::200e: time=630ms 
Reply from 2404:6800:4002:811::200e: time=193ms 
Request timed out.
Reply from 2404:6800:4002:811::200e: time=70ms 
Reply from 2404:6800:4002:811::200e: time=88ms 
Reply from 2404:6800:4002:811::200e: time=152ms 
Reply from 2404:6800:4002:811::200e: time=121ms 
Reply from 2404:6800:4002:811::200e: time=123ms 
Reply from 2404:6800:4002:811::200e: time=491ms 
Reply from 2404:6800:4002:811::200e: time=315ms 
Reply from 2404:6800:4002:811::200e: time=192ms 
Reply from 2404:6800:4002:811::200e: time=99ms 
Reply from 2404:6800:4002:811::200e: time=520ms 
Reply from 2404:6800:4002:811::200e: time=280ms 
Reply from 2404:6800:4002:811::200e: time=133ms 
Reply from 2404:6800:4002:811::200e: time=145ms 
Reply from 2404:6800:4002:811::200e: time=420ms 
Reply from 2404:6800:4002:811::200e: time=82ms 
Request timed out.
Reply from 2404:6800:4002:811::200e: time=87ms 
Reply from 2404:6800:4002:811::200e: time=85ms 
Reply from 2404:6800:4002:811::200e: time=714ms 
Reply from 2404:6800:4002:811::200e: time=265ms 
Reply from 2404:6800:4002:811::200e: time=97ms 
Reply from 2404:6800:4002:811::200e: time=89ms 
Reply from 2404:6800:4002:811::200e: time=350ms 
Reply from 2404:6800:4002:811::200e: time=84ms 
Reply from 2404:6800:4002:811::200e: time=260ms 
Reply from 2404:6800:4002:811::200e: time=79ms 
Reply from 2404:6800:4002:811::200e: time=75ms 
Reply from 2404:6800:4002:811::200e: time=160ms 
Reply from 2404:6800:4002:811::200e: time=558ms 
Reply from 2404:6800:4002:811::200e: time=86ms 
Reply from 2404:6800:4002:811::200e: time=82ms 
Request timed out.
Reply from 2404:6800:4002:811::200e: time=85ms 
Reply from 2404:6800:4002:811::200e: time=91ms 
Reply from 2404:6800:4002:811::200e: time=469ms 
Reply from 2404:6800:4002:811::200e: time=283ms 
Reply from 2404:6800:4002:811::200e: time=157ms 
Reply from 2404:6800:4002:811::200e: time=87ms 
Reply from 2404:6800:4002:811::200e: time=83ms 
Reply from 2404:6800:4002:811::200e: time=498ms 
Reply from 2404:6800:4002:811::200e: time=196ms 
Reply from 2404:6800:4002:811::200e: time=70ms 
Reply from 2404:6800:4002:811::200e: time=89ms 
Reply from 2404:6800:4002:811::200e: time=174ms 
Reply from 2404:6800:4002:811::200e: time=573ms 
Reply from 2404:6800:4002:811::200e: time=98ms 
Reply from 2404:6800:4002:811::200e: time=85ms 
Reply from 2404:6800:4002:811::200e: time=130ms 
Reply from 2404:6800:4002:811::200e: time=225ms 
Reply from 2404:6800:4002:811::200e: time=227ms 
Reply from 2404:6800:4002:811::200e: time=163ms 
Request timed out.
Reply from 2404:6800:4002:811::200e: time=196ms 
Reply from 2404:6800:4002:811::200e: time=94ms 
Reply from 2404:6800:4002:811::200e: time=99ms 
